"NLY","Annaly Capital Management Inc.","","NYSE","Unknown","0.0","0.0","0.0","0.0","0.0","0","0.0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","Tue Jun 15 19:05:40 MDT 2010"
"CHK","Chesapeake Energy Corp.","","NYSE","Unknown","0.0","0.0","0.0","0.0","0.0","0","0.0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","Tue Jun 15 19:05:40 MDT 2010"
"HAL","Halliburton Co.","","NYSE","Unknown","0.0","0.0","0.0","0.0","0.0","0","0.0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","Tue Jun 15 19:05:40 MDT 2010"
"LOW","Lowes Companies","","NYSE","Unknown","0.0","0.0","0.0","0.0","0.0","0","0.0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","Tue Jun 15 19:05:40 MDT 2010"
"HPQ","Hewlett Packard Co","","NYSE","Unknown","0.0","0.0","0.0","0.0","0.0","0","0.0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","Tue Jun 15 19:05:40 MDT 2010"
"JAVAD","** SEE<JAVA>","","Nasdaq","Unknown","0.0","0.0","0.0","0.0","0.0","0","0.0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","Tue Jun 15 19:05:40 MDT 2010"
"SOV","SOVEREIGN BANCORP","","NYSE","Unknown","0.0","0.0","0.0","0.0","0.0","0","0.0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","Tue Jun 15 19:05:40 MDT 2010"
"TXN","Texas Instruments Inc","","NYSE","Unknown","0.0","0.0","0.0","0.0","0.0","0","0.0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","Tue Jun 15 19:05:40 MDT 2010"
"AIG","American Intl Group","","NYSE","Unknown","0.0","0.0","0.0","0.0","0.0","0","0.0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","Tue Jun 15 19:05:40 MDT 2010"
"BRCD","BROCADE COMM","","Nasdaq","Unknown","0.0","0.0","0.0","0.0","0.0","0","0.0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","Tue Jun 15 19:05:40 MDT 2010"
"WFT","Weatherford Intl Ltd","","NYSE","Unknown","0.0","0.0","0.0","0.0","0.0","0","0.0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","Tue Jun 15 19:05:40 MDT 2010"
"CIT","CIT Group","","NYSE","Unknown","0.0","0.0","0.0","0.0","0.0","0","0.0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","Tue Jun 15 19:05:40 MDT 2010"
"WMT","Wal Mart Stores Inc","","NYSE","Unknown","0.0","0.0","0.0","0.0","0.0","0","0.0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","Tue Jun 15 19:05:40 MDT 2010"
"MRVL","Marvell Technology Group","","Nasdaq","Unknown","0.0","0.0","0.0","0.0","0.0","0","0.0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","Tue Jun 15 19:05:40 MDT 2010"
"SCHW","Schwab (Charles) Corp","","NYSE","Unknown","0.0","0.0","0.0","0.0","0.0","0","0.0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","Tue Jun 15 19:05:40 MDT 2010"
"MEDI","Medimmune","","Nasdaq","Unknown","0.0","0.0","0.0","0.0","0.0","0","0.0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","Tue Jun 15 19:05:40 MDT 2010"
"DIS","Disney (Walt)","","NYSE","Unknown","0.0","0.0","0.0","0.0","0.0","0","0.0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","Tue Jun 15 19:05:40 MDT 2010"
